model,classifier,nn_number,epochs,batch-size,learning-rate,optimizer,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
traditional,knn,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,0.6218525179856115,0.5532,0.5855207451312447,0.6084
traditional,knn,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,0.6372705506783719,0.6388,0.6380343587694766,0.6376
traditional,knn,-,-,-,-,-,-,+,+,-,-,+,+,-,-,+,-,0.7520053475935828,0.45,0.5630630630630631,0.6508
traditional,knn,-,-,-,-,-,-,+,+,-,-,+,+,-,-,-,-,0.6913372582001682,0.3288,0.44564922743290863,0.591
traditional,knn,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,0.6367688022284123,0.4572,0.5322467986030268,0.5982
traditional,knn,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,0.6488980010251153,0.5064,0.5688609301280612,0.6162
traditional,knn,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,0.7523570081709616,0.4788,0.5851869958445367,0.6606
traditional,knn,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,0.6942277691107644,0.356,0.4706504494976203,0.5996
traditional,knn,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,0.5980573543015726,0.5172,0.5546975546975547,0.5848
traditional,knn,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,0.6082135523613963,0.5924,0.6002026342451875,0.6054
traditional,knn,-,-,-,-,-,-,+,-,+,+,+,+,-,-,+,-,0.7309602649006622,0.3532,0.47626752966558794,0.6116
traditional,knn,-,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,0.645091693635383,0.2392,0.3489932885906041,0.5538
traditional,knn,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,0.6327652556349642,0.4604,0.5329937485529057,0.5966
traditional,knn,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,0.6283748014822658,0.4748,0.5408976987924357,0.597
traditional,knn,-,-,-,-,-,-,+,-,+,+,-,+,-,-,+,-,0.7193263833199679,0.3588,0.4787830264211369,0.6094
traditional,knn,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,0.6240913811007269,0.2404,0.34709789200115504,0.5478
traditional,knn,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0.5811732605729877,0.5112,0.543945520323473,0.5714
traditional,knn,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0.5896774193548387,0.5484,0.5682901554404145,0.5834
traditional,knn,-,-,-,-,-,-,+,-,+,-,+,+,-,-,+,-,0.7296610169491525,0.3444,0.46793478260869564,0.6084
traditional,knn,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,0.6331828442437923,0.2244,0.3313644418192558,0.5472
traditional,knn,-,-,-,-,-,-,+,-,+,-,+,-,-,-,+,-,0.6096287703016241,0.4204,0.49763257575757586,0.5756
traditional,knn,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,0.6170100369783412,0.4672,0.531755064875939,0.5886
traditional,knn,-,-,-,-,-,-,+,-,+,-,-,+,-,-,+,-,0.7135882831570383,0.3508,0.470367390721373,0.605
traditional,knn,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,0.6202393906420022,0.228,0.3334308277274057,0.5442
traditional,knn,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,0.5656951743908266,0.4736,0.5155671674286959,0.555
traditional,knn,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,0.5658169661512745,0.5416,0.5534436950745963,0.563
traditional,knn,-,-,-,-,-,-,+,-,-,+,+,+,-,-,+,-,0.7577833125778332,0.4868,0.5927910375060886,0.6656
traditional,knn,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,0.702576112412178,0.36,0.4760645331922772,0.6038
traditional,knn,-,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,0.6300114547537228,0.44,0.5181347150259068,0.5908
traditional,knn,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,0.643011917659805,0.4748,0.5462494247583984,0.6056
traditional,knn,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,0.7600239377618193,0.508,0.6089666746583554,0.6738
traditional,knn,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,0.7062314540059347,0.3808,0.49480249480249483,0.6112
traditional,knn,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,0.5747663551401869,0.492,0.5301724137931034,0.564
traditional,knn,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0.5634178905206942,0.5064,0.5333895091636823,0.557
traditional,knn,-,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,0.7547528517110266,0.4764,0.5841098577734183,0.6608
traditional,knn,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,0.6971887550200804,0.3472,0.46355140186915894,0.5982
